pair,source,recent,last_reported,publishers,inventory_at,depth_usd,depth_complete,spread_bps,instrument,assessment,note,evidence_url
LBTC/USD,CHAINLINK,False,2026-07-12T11:31:05+00:00,"[""ARGENT"", ""PRAGMA"", ""STARKWARE""]",2026-09-18T09:54:22.380765+00:00,,,,Historical oracle input,Derived / no book,No recently reported observation; excluded from current coverage. No current executable depth is inferred.,https://github.com/astraly-labs/pragma-sdk/blob/1fe7bad29874cbe321f65b9b2e815f52333cd34c/pragma-sdk/pragma_sdk/common/fetchers/fetchers/chainlink.py
LBTC/USD,CUSTOM,True,2026-09-18T09:53:44+00:00,"[""ARGENT"", ""PRAGMA"", ""STARKNET_FOUNDATION"", ""STARKWARE""]",2026-09-18T09:54:22.380765+00:00,,,,Chainlink conversion feed × underlying USD price,Derived / no book,"Ratio/rate input, not executable depth or assured redemption capacity.",https://github.com/astraly-labs/pragma-sdk/blob/1fe7bad29874cbe321f65b9b2e815f52333cd34c/pragma-sdk/pragma_sdk/common/fetchers/fetchers/chainlink.py
LBTC/USD,PYTH,False,2026-08-26T16:10:16+00:00,"[""ARGENT"", ""PRAGMA"", ""STARKWARE""]",2026-09-18T09:54:22.380765+00:00,,,,Historical oracle input,Derived / no book,No recently reported observation; excluded from current coverage. No current executable depth is inferred.,https://github.com/astraly-labs/pragma-sdk/blob/1fe7bad29874cbe321f65b9b2e815f52333cd34c/pragma-sdk/pragma_sdk/common/fetchers/fetchers/pyth.py
LBTC/USD,REDSTONE,True,2026-09-18T09:53:46+00:00,"[""ARGENT"", ""PRAGMA"", ""STARKNET_FOUNDATION"", ""STARKWARE""]",2026-09-18T09:54:22.380765+00:00,,,,RedStone conversion feed × underlying USD price,Derived / no book,Ratio input; independent liquidation depth and redemption capacity not established.,https://github.com/astraly-labs/pragma-sdk/blob/1fe7bad29874cbe321f65b9b2e815f52333cd34c/pragma-sdk/pragma_sdk/common/fetchers/fetchers/redstone.py
LORDS/USD,AVNU,True,2026-09-18T09:44:31+00:00,"[""AVNU""]",2026-09-18T09:54:22.380765+00:00,,,,Starknet aggregated market price,Unverified depth,Routed execution quotes are shown separately. They do not reveal the publisher price methodology or establish independence from other DEX aggregators.,https://docs.avnu.fi/api/swap/get-quotes
LORDS/USD,DEFILLAMA,True,2026-09-18T09:36:59+00:00,"[""PRAGMA""]",2026-09-18T09:54:22.380765+00:00,,,,CoinGecko-keyed price via DeFiLlama,Unverified depth,"Aggregator price, not an executable venue. Underlying constituent weights and independent depth not exposed. Upstream observation was 70 minutes old when independently fetched at 09:59:44 UTC.",https://coins.llama.fi/prices/current/coingecko:lords
LORDS/USD,EKUBO,False,2026-09-08T08:55:02+00:00,"[""PRAGMA""]",2026-09-18T09:54:22.380765+00:00,,,,"One-hour oracle-pool TWAP, routed through EKUBO",Unverified depth,"Base and quote oracle-pool legs share dependencies. The SDK guard is a reserve threshold, not a 1% executable-depth test. Routed AVNU liquidity is not necessarily this oracle pool.",https://github.com/astraly-labs/pragma-sdk/blob/1fe7bad29874cbe321f65b9b2e815f52333cd34c/pragma-sdk/pragma_sdk/common/fetchers/fetchers/ekubo.py
LORDS/USD,GECKOTERMINAL,True,2026-09-18T09:36:59+00:00,"[""PRAGMA""]",2026-09-18T09:54:22.380765+00:00,,,,Top-ranked token pool price,Unverified depth,"Top-pool selection can change. The routed DEX quote below is market context, not a measurement of the exact pool selected by the publisher.",https://apiguide.geckoterminal.com/faq
MRE7BTC/USD,RE7_ONCHAIN,True,2026-09-18T09:51:03+00:00,"[""ARGENT"", ""PRAGMA"", ""STARKNET_FOUNDATION"", ""STARKWARE""]",2026-09-18T09:54:22.380765+00:00,,,,Midas/Re7 lastAnswer valuation,Derived / no book,"NAV/rate input; no order book. Instant redemption buffer, eligibility and settlement time were not verified.",https://github.com/astraly-labs/pragma-sdk/blob/1fe7bad29874cbe321f65b9b2e815f52333cd34c/pragma-sdk/pragma_sdk/common/fetchers/fetchers/re7onchain.py
MRE7YIELD/USD,DEFILLAMA,True,2026-09-18T09:51:03+00:00,"[""ARGENT"", ""PRAGMA"", ""STARKNET_FOUNDATION"", ""STARKWARE""]",2026-09-18T09:54:22.380765+00:00,,,,CoinGecko-keyed price via DeFiLlama,Unverified depth,"Aggregator price, not an executable venue. Underlying constituent weights and independent depth not exposed. Upstream observation was 8 minutes old when independently fetched at 09:59:44 UTC.",https://coins.llama.fi/prices/current/coingecko:midas-mre7yield
MRE7YIELD/USD,RE7_ONCHAIN,True,2026-09-18T09:51:04+00:00,"[""ARGENT"", ""PRAGMA"", ""STARKNET_FOUNDATION"", ""STARKWARE""]",2026-09-18T09:54:22.380765+00:00,,,,Midas/Re7 lastAnswer valuation,Derived / no book,"NAV/rate input; no order book. Instant redemption buffer, eligibility and settlement time were not verified.",https://github.com/astraly-labs/pragma-sdk/blob/1fe7bad29874cbe321f65b9b2e815f52333cd34c/pragma-sdk/pragma_sdk/common/fetchers/fetchers/re7onchain.py
NSTR/USD,AVNU,True,2026-09-18T09:44:31+00:00,"[""AVNU""]",2026-09-18T09:54:22.380765+00:00,,,,Starknet aggregated market price,Unverified depth,Routed execution quotes are shown separately. They do not reveal the publisher price methodology or establish independence from other DEX aggregators.,https://docs.avnu.fi/api/swap/get-quotes
NSTR/USD,DEFILLAMA,True,2026-09-18T09:36:59+00:00,"[""PRAGMA""]",2026-09-18T09:54:22.380765+00:00,,,,CoinGecko-keyed price via DeFiLlama,Unverified depth,"Aggregator price, not an executable venue. Underlying constituent weights and independent depth not exposed. Upstream observation was 255 minutes old when independently fetched at 09:59:44 UTC.",https://coins.llama.fi/prices/current/coingecko:nostra
NSTR/USD,GECKOTERMINAL,True,2026-09-18T09:36:59+00:00,"[""PRAGMA""]",2026-09-18T09:54:22.380765+00:00,,,,Top-ranked token pool price,Unverified depth,"Top-pool selection can change. The routed DEX quote below is market context, not a measurement of the exact pool selected by the publisher.",https://apiguide.geckoterminal.com/faq
STRK/USD,AVNU,True,2026-09-18T09:44:31+00:00,"[""AVNU""]",2026-09-18T09:54:22.380765+00:00,,,,Starknet aggregated market price,Unverified depth,Routed execution quotes are shown separately. They do not reveal the publisher price methodology or establish independence from other DEX aggregators.,https://docs.avnu.fi/api/swap/get-quotes
STRK/USD,BINANCE,True,2026-09-18T09:53:44+00:00,"[""ARGENT"", ""PRAGMA"", ""STARKNET_FOUNDATION"", ""STARKWARE""]",2026-09-18T09:54:22.380765+00:00,33650.22888460672,True,5.847953216374032,STRK/USDT spot,Thin,,https://api.binance.com/api/v3/depth?symbol=STRKUSDT&limit=5000
STRK/USD,BITGET,True,2026-09-18T09:53:44+00:00,"[""ARGENT"", ""PRAGMA"", ""STARKNET_FOUNDATION"", ""STARKWARE""]",2026-09-18T09:54:22.380765+00:00,10330.922469999263,True,11.692487576731475,STRK/USDT spot,Thin,,https://api.bitget.com/api/v2/spot/market/orderbook?symbol=STRKUSDT&type=step0&limit=200
STRK/USD,BITSTAMP,False,2026-09-08T02:39:32+00:00,"[""ARGENT"", ""PRAGMA"", ""STARKWARE""]",2026-09-18T09:54:22.380765+00:00,,,,STRK/USD spot,Unverified,No usable direct book returned. See the saved response; this is not evidence of zero market-wide liquidity.,https://www.bitstamp.net/api/v2/order_book/strkusd/
STRK/USD,BYBIT,True,2026-09-18T09:53:44+00:00,"[""ARGENT"", ""PRAGMA"", ""STARKNET_FOUNDATION""]",2026-09-18T09:54:22.380765+00:00,33475.63712378631,True,11.692487576731475,STRK/USDT spot,Thin,,https://api.bybit.com/v5/market/orderbook?category=spot&symbol=STRKUSDT&limit=200
STRK/USD,DEFILLAMA,True,2026-09-18T09:53:43+00:00,"[""ARGENT"", ""PRAGMA"", ""STARKNET_FOUNDATION"", ""STARKWARE""]",2026-09-18T09:54:22.380765+00:00,,,,CoinGecko-keyed price via DeFiLlama,Unverified depth,"Aggregator price, not an executable venue. Underlying constituent weights and independent depth not exposed. Upstream observation was 13 minutes old when independently fetched at 09:59:44 UTC.",https://coins.llama.fi/prices/current/coingecko:starknet
STRK/USD,EKUBO,True,2026-09-18T09:53:45+00:00,"[""ARGENT"", ""PRAGMA"", ""STARKNET_FOUNDATION"", ""STARKWARE""]",2026-09-18T09:54:22.380765+00:00,,,,"One-hour oracle-pool TWAP, routed through EKUBO",Unverified depth,"Base and quote oracle-pool legs share dependencies. The SDK guard is a reserve threshold, not a 1% executable-depth test. Routed AVNU liquidity is not necessarily this oracle pool.",https://github.com/astraly-labs/pragma-sdk/blob/1fe7bad29874cbe321f65b9b2e815f52333cd34c/pragma-sdk/pragma_sdk/common/fetchers/fetchers/ekubo.py
STRK/USD,GATEIO,True,2026-09-18T09:53:45+00:00,"[""ARGENT"", ""PRAGMA"", ""STARKNET_FOUNDATION"", ""STARKWARE""]",2026-09-18T09:54:22.380765+00:00,13187.256681268327,True,14.617745943573892,STRK/USDT spot,Thin,,https://api.gateio.ws/api/v4/spot/order_book?currency_pair=STRK_USDT&limit=1000
STRK/USD,HUOBI,True,2026-09-18T09:53:44+00:00,"[""ARGENT"", ""PRAGMA"", ""STARKNET_FOUNDATION"", ""STARKWARE""]",2026-09-18T09:54:22.380765+00:00,22.7679287154125,True,178.04154302670722,STRK/USDT spot,Very thin,,https://api.huobi.pro/market/depth?symbol=strkusdt&type=step0
STRK/USD,KUCOIN,True,2026-09-18T09:53:44+00:00,"[""ARGENT"", ""PRAGMA"", ""STARKNET_FOUNDATION"", ""STARKWARE""]",2026-09-18T09:54:22.380765+00:00,19624.154787659125,True,11.69590643274806,STRK/USDT spot,Thin,,https://api.kucoin.com/api/v1/market/orderbook/level2_100?symbol=STRK-USDT
STRK/USD,LBANK,True,2026-09-18T09:53:45+00:00,"[""ARGENT"", ""PRAGMA"", ""STARKNET_FOUNDATION"", ""STARKWARE""]",2026-09-18T09:54:22.380765+00:00,39536.42071469303,True,8.775778850373628,STRK/USDT spot,Thin,,https://api.lbkex.com/v2/depth.do?symbol=strk_usdt&size=200
STRK/USD,OKX,True,2026-09-18T09:53:46+00:00,"[""ARGENT"", ""PRAGMA"", ""STARKNET_FOUNDATION"", ""STARKWARE""]",2026-09-18T09:54:22.380765+00:00,100105.41060539376,True,5.85308750365794,STRK/USDT perpetual,Deeper,Perpetual contracts; excluded from spot liquidity totals. ,https://www.okx.com/api/v5/market/books?instId=STRK-USDT-SWAP&sz=400
STRK/USD,PYTH,False,2026-08-26T16:10:16+00:00,"[""ARGENT"", ""PRAGMA"", ""STARKWARE""]",2026-09-18T09:54:22.380765+00:00,,,,Historical oracle input,Derived / no book,No recently reported observation; excluded from current coverage. No current executable depth is inferred.,https://github.com/astraly-labs/pragma-sdk/blob/1fe7bad29874cbe321f65b9b2e815f52333cd34c/pragma-sdk/pragma_sdk/common/fetchers/fetchers/pyth.py
